B,G,R,Target
37,75,189,merah
45,75,184,merah
45,74,188,merah
48,75,186,merah
43,74,189,merah
46,78,197,merah
42,76,194,merah
36,75,192,merah
35,75,194,merah
36,75,193,merah
38,76,191,merah
42,75,191,merah
48,75,190,merah
49,75,190,merah
48,77,189,merah
49,76,193,merah
48,76,193,merah
46,75,191,merah
44,77,190,merah
43,77,188,merah
39,77,191,merah
37,76,190,merah
39,75,192,merah
44,74,193,merah
42,75,191,merah
46,83,201,merah
46,83,202,merah
42,84,200,merah
42,84,199,merah
42,84,199,merah
41,84,199,merah
43,84,200,merah
42,84,199,merah
42,84,198,merah
44,84,200,merah
49,75,184,merah
49,74,188,merah
47,73,185,merah
42,74,185,merah
38,74,185,merah
36,74,185,merah
36,73,184,merah
33,73,179,merah
32,70,178,merah
34,69,180,merah
36,67,178,merah
37,68,179,merah
40,67,179,merah
41,69,175,merah
39,70,172,merah
34,70,174,merah
36,68,172,merah
38,69,170,merah
40,68,172,merah
40,68,171,merah
36,67,177,merah
36,66,175,merah
39,65,177,merah
39,66,174,merah
38,67,171,merah
40,68,170,merah
40,68,170,merah
43,68,170,merah
43,68,170,merah
44,68,170,merah
29,69,172,merah
33,69,171,merah
33,68,174,merah
36,68,177,merah
38,66,178,merah
35,31,25,hitam
32,29,26,hitam
28,28,26,hitam
27,28,22,hitam
30,28,24,hitam
34,29,22,hitam
32,27,28,hitam
29,26,26,hitam
30,26,27,hitam
45,36,30,hitam
46,36,32,hitam
47,36,31,hitam
44,36,31,hitam
37,34,31,hitam
34,33,29,hitam
33,33,28,hitam
34,35,29,hitam
34,35,29,hitam
37,33,30,hitam
41,37,30,hitam
60,145,136,kuning
61,146,133,kuning
63,146,131,kuning
63,146,133,kuning
61,145,134,kuning
62,146,133,kuning
65,146,133,kuning
65,146,133,kuning
63,145,131,kuning
63,144,132,kuning
65,145,139,kuning
67,145,138,kuning
66,145,138,kuning
65,145,138,kuning
65,145,138,kuning
65,146,138,kuning
67,146,135,kuning
67,145,135,kuning
69,143,134,kuning
70,143,134,kuning
62,34,26,biru tua
63,34,25,biru tua
62,34,27,biru tua
61,35,26,biru tua
61,34,26,biru tua
62,34,26,biru tua
60,33,25,biru tua
62,32,22,biru tua
60,32,23,biru tua
65,33,28,biru tua
65,34,27,biru tua
62,35,25,biru tua
64,34,26,biru tua
60,32,24,biru tua
63,34,27,biru tua
64,34,27,biru tua
62,34,27,biru tua
63,34,27,biru tua
63,34,27,biru tua
65,35,28,biru tua
146,84,27,biru muda
145,84,26,biru muda
145,85,26,biru muda
143,85,26,biru muda
144,85,24,biru muda
143,87,33,biru muda
141,86,34,biru muda
143,86,33,biru muda
142,85,32,biru muda
143,84,33,biru muda
144,85,30,biru muda
142,84,33,biru muda
142,84,30,biru muda
140,84,31,biru muda
141,83,28,biru muda
144,88,33,biru muda
144,88,32,biru muda
145,87,34,biru muda
143,87,33,biru muda
145,87,35,biru muda
